work_id,term,context
T1428,飯,日與諸比丘馬麥五升，世尊一斗。時佛所得麥分與阿難，阿難使人磨作乾飯奉佛，佛食乾飯。諸比丘各各得成煮麥而食，佛與比丘所食各異。時尊
T1428,飯,五升，世尊一斗。時佛所得麥分與阿難，阿難使人磨作乾飯奉佛，佛食乾飯。諸比丘各各得成煮麥而食，佛與比丘所食各異。時尊者大目連往世尊
T1428,肉,我無數方便說欲如火，如把草炬亦如樹果，又如假借、猶如枯骨，亦如段肉、如夢所見、如履鋒刃、如新瓦器盛水著於日中、如毒蛇頭、如輪轉刀、
T1428,肉,乞食、盡形壽著糞掃衣、盡形壽露坐、盡形壽不食酥鹽、盡形壽不食魚及肉。我今持此五法，教諸比丘足令信樂，當語諸比丘言：『世尊無數方便歎
T1428,魚,不得，偷蘭遮。水處者，若藏金銀七寶及諸衣被沈著水中，若水獺、若魚、若鼈、若失收摩羅，若優鉢羅華、鉢頭摩華、拘物頭華、分陀利華，及
T1428,魚,取、若舉若埋藏，離本處，初離處波羅夷；方便偷蘭遮。無足眾生者，蛇魚及餘無足眾生有主者，盜心取直五錢、若過五錢，波羅夷；方便，偷蘭遮
T1435,粥,耳中、鼻中、口中；若著男女根中、身上、若著瘡中、若著餅肉中、羹飯粥中、若被褥中、大車、小車、臥具、輦輿、步挽車中，作如是念：「令彼
T1435,粥,臥亦如是。」不犯者，若比丘言：「小住。」若言：「日時早。」若歠粥、若飲、若一切先囑食，不犯。(三十四事竟)佛在舍衛國。爾時憍薩
T1435,乳,迦留陀夷恒出入一居士舍，晨朝時到著衣持鉢往至其舍。是家婦有未斷乳兒，持著床上以疊覆之捨去。迦留陀夷門下彈指，婦人出看言：「大德！
T1435,乳,合僧，莫受持破僧事，當與僧和合。僧和合者，歡喜無諍，一心一學如水乳合，得安樂住，汝當捨是破僧因緣事。」時提婆達多不捨是事。爾時提
T1435,酥,、亂心、病壞心。有比丘尼名施越，多知識謂有福德人，喜供養與油、酥、蜜、石蜜。有一賈客見是比丘尼，信敬心喜作如是言：「善女！所須酥
T1435,酥,酥、蜜、石蜜。有一賈客見是比丘尼，信敬心喜作如是言：「善女！所須酥、油、蜜、石蜜至我舍取。」答言：「如是。」時有比丘尼聞是語，過後
T1435,蜜,心、病壞心。有比丘尼名施越，多知識謂有福德人，喜供養與油、酥、蜜、石蜜。有一賈客見是比丘尼，信敬心喜作如是言：「善女！所須酥、油
T1435,蜜,壞心。有比丘尼名施越，多知識謂有福德人，喜供養與油、酥、蜜、石蜜。有一賈客見是比丘尼，信敬心喜作如是言：「善女！所須酥、油、蜜、
T1435,飯,、耳中、鼻中、口中；若著男女根中、身上、若著瘡中、若著餅肉中、羹飯粥中、若被褥中、大車、小車、臥具、輦輿、步挽車中，作如是念：「令
T1435,飯,者，尼薩耆波夜提。」鉢者，有三種：上、中、下。上鉢者，受三鉢他飯，一鉢他羹，餘可食物半羹，是名上鉢。下鉢者，受一鉢他飯，半鉢他羹
T1435,肉,念：「是放牧人入村去時我當盜取。」偷蘭遮。若殺者，波夜提。殺已取肉直五錢，波羅夷。是名四足處。多足處者，蜈蚣、百足、蛣蜣，有人舉
T1435,肉,若著眼中、耳中、鼻中、口中；若著男女根中、身上、若著瘡中、若著餅肉中、羹飯粥中、若被褥中、大車、小車、臥具、輦輿、步挽車中，作如是
T1435,魚,善戒人，三者病人。」惡戒人者，殺牛、殺羊、養雞、養猪、放鷹、捕魚、獵師圍兔、偷賊、魁膾、呪龍、守獄，有比丘到惡戒人所，作如是言：
T1435,魚,截樹木；打臂拍髀；啼哭大喚或嘯；謬語、諸異國語；躑絕反行，如婉轉魚，躑物空中還自接取；與女人共大船上，載令作伎樂；或騎象馬，乘車輦
T1442,粥,今我親屬財食殷富，宜應就彼羯闌鐸迦村，勸於僧田廣設供養：若麨、若粥、或常施食、或請喚食、或八日、十四日、十五日食，教諸親屬少興福業
T1442,粥,壽波洛迦！何意通宵困苦啼泣？」報言：「我極飢渴。」問言：「我有水粥何不噉之！」答言：「極善！我今須噉。」既噉足已，復有苾芻問言：「
T1442,乳,議曰：「此兒因種子法而求得之，可名種子。」其姑即便授八養母：二供乳哺、二作褓持、二為澡浴、二共歡戲。給以乳酪酥精石蜜，及餘上妙甘美
T1442,乳,」其姑即便授八養母：二供乳哺、二作褓持、二為澡浴、二共歡戲。給以乳酪酥精石蜜，及餘上妙甘美飲食而用資養，速便長大如蓮出池。既漸童年
T1442,酥,姑即便授八養母：二供乳哺、二作褓持、二為澡浴、二共歡戲。給以乳酪酥精石蜜，及餘上妙甘美飲食而用資養，速便長大如蓮出池。既漸童年學諸
T1442,酥,一類猶如熟乳。既其冷已有凝結生，上有地味色香美味悉皆具足，色若生酥味甜如蜜。汝諸苾芻！此界成時一類有情福命俱盡，從光音天歿而來於此
T1442,蜜,授八養母：二供乳哺、二作褓持、二為澡浴、二共歡戲。給以乳酪酥精石蜜，及餘上妙甘美飲食而用資養，速便長大如蓮出池。既漸童年學諸技藝算
T1442,蜜,熟乳。既其冷已有凝結生，上有地味色香美味悉皆具足，色若生酥味甜如蜜。汝諸苾芻！此界成時一類有情福命俱盡，從光音天歿而來於此人同分中
T1442,飯,既出家已於所住聚落而行乞食，攝護威儀諸根無亂，善防心意還詣所居。飯食訖收衣鉢洗足已，入房中欲染心發，便以生支內自口中而受欲樂。後於
T1442,飯,我等且已善答其事，然少欲者今現犯罪，我等往彼令其悔過。」便還住處飯食已訖，詣聖者目連所，先致敬已，白言：「上座！願見容許，欲有詰問
T1442,肉,節會日以上妙物而嚴飾之，所謂諸寶瓔珞之具及雜繒綵。時有飛鳥謂珠是肉，銜之而去。若苾芻起盜心興方便而捉彼鳥，乃至未觸瓔珞已來得惡作罪
T1442,肉,物、未移處，得窣吐羅底也；若移處時，價若滿五得罪同前。若其此象皮肉、血脈皆充滿者，是謂一處。若其身羸瘦，若牙耳鼻及腹肋脊腰據一一處
T1442,魚,在弶鹿而解放者，價若滿五，得根本罪；若不滿者，得窣吐羅底也。若捕魚人及彼徒黨，於河陂處截其要口，安置梁筌殺諸魚類，苾芻盜心取彼筌時
T1442,魚,，得窣吐羅底也。若捕魚人及彼徒黨，於河陂處截其要口，安置梁筌殺諸魚類，苾芻盜心取彼筌時同前得罪；若作悲心同前得罪。若於筌中盜彼魚者
